P03427	UniRef100_P03427	381518
E9PKA7	UniRef100_A0A024R5B6	1437010
Q5NEQ5	UniRef100_A0A1J0L098	263
P03433	UniRef100_P03433	11320
P9WIA1	UniRef100_P65717	77643
P06929	UniRef100_P06929	1
Q83BP6	UniRef100_Q83BP6	227377
A0A0C4DGG9	UniRef100_A0A0C4DGG9	9606
P06465	UniRef100_P06465	1
Q601L9	UniRef100_Q601L9	2
P0A6Z0	UniRef100_A7ZHA4	1224
A0A0U1RRE5	UniRef100_A0A0U1RRE5	9526
Q5NET8	UniRef100_A0A0E2ZQ85	263
A0A3B3IRW5	UniRef100_A0A3B3IRW5	9604
P03496	UniRef100_B4URE2	11308
Q81JW1	UniRef100_C3P2A0	1392
A0FGR8	UniRef100_A0FGR8	9606
Q5NGX7	UniRef100_Q14IC9	263
Q5NFY7	UniRef100_Q5NFY7	263
A0JNW5	UniRef100_A0JNW5	9606
Q5NHI7	UniRef100_Q14IY9	263
Q81VT8	UniRef100_C3P9P7	1392
A0PJ79	UniRef100_A0PJ79	9606
Q8CZQ3	UniRef100_Q8CZQ3	629
A0PJD3	UniRef100_A0PJD3	9606
A1A4Z1	UniRef100_A1A4Z1	9606
A1L0T0	UniRef100_A1L0T0	9606
O84826	UniRef100_O84826	813
A1L390	UniRef100_A1L390	9606
A1L443	UniRef100_A1L443	9606
Q8XAJ5	UniRef100_A0A152UK19	562
Q8ZC18	UniRef100_A7FLH3	629
Q8D194	UniRef100_A0A0M1VBB9	629
A2RRP1	UniRef100_A2RRP1	9606
Q5NGF9	UniRef100_A0A0E2ZMJ5	263
Q8D1J6	UniRef100_A0A0H2YDC7	629
A0A0H2WCL3	UniRef100_A5PM31	111527
Q8D0V0	UniRef100_Q8D0V0	632
A4D0V7	UniRef100_A4D0V7	9606
A4D1V7	UniRef100_A4D1V7	9606
A4FU69	UniRef100_A4FU69	9606
Q8D0G3	UniRef100_Q8D0G3	629
A0A2P0H9B7	UniRef100_A0A2P0H9B7	1392
A5D8Y4	UniRef100_A5D8Y4	9606
Q5NEM9	UniRef100_A0A0E2ZKJ9	263
Q8CKW7	UniRef100_Q8CKW7	632
Q83B01	UniRef100_Q83B01	227377
Q8CZZ7	UniRef100_Q8CZZ7	1649845
Q5NGF1	UniRef100_A0A0E2ZH82	263
Q8ZFX5	UniRef100_Q8ZFX5	1649845
A0A384LL56	UniRef100_A0A384LL56	1392
Q5NI33	UniRef100_A0A0E2ZTJ6	263
A6NEC2	UniRef100_A6NEC2	9606
Q5NHH2	UniRef100_A0A0E2ZKX3	263
A6NH11	UniRef100_A6NH11	9606
Q81LD0	UniRef100_C3P9E6	1392
A6NHR9	UniRef100_A6NHR9	9606
A6NJA2	UniRef100_A6NJA2	9526
A0A0H3L6J6	UniRef100_R4MDN6	1773
A6NM11	UniRef100_A6NM11	9606
A6NMS7	UniRef100_A6NMS7	207598
A6PVS8	UniRef100_A6PVS8	9606
Q5NET6	UniRef100_Q5NET6	263
A7E2V4	UniRef100_A7E2V4	9606
Q81QB6	UniRef100_Q81QB6	1392
Q7CIS2	UniRef100_A7FHK2	629
A7E2V7	UniRef100_A7E2V7	9606
A7MCY6	UniRef100_A7MCY6	9606
A8K0D8	UniRef100_A8K0D8	9606
Q5NHN8	UniRef100_Q14J40	263
Q8BML9	UniRef100_Q8BML9	10090
A8K3J5	UniRef100_A8K3J5	9606
Q5NEC0	UniRef100_A0A0E2ZJK9	263
A8K451	UniRef100_A8K451	9606
Q9X334	UniRef100_C2XMJ4	91061
A8K6U0	UniRef100_A8K6U0	9606
A8K7A4	UniRef100_A8K7A4	9606
A8K7T4	UniRef100_A8K7T4	9606
Q8CKI8	UniRef100_Q8CKI8	632
Q6P8X1	UniRef100_Q6P8X1	10090
A8K8P3	UniRef100_A8K8P3	9606
A8K979	UniRef100_A8K979	9606
A8K9Y5	UniRef100_A8K9Y5	9606
A8KAD5	UniRef100_A8KAD5	9606
Q5NIP5	UniRef100_Q14K48	263
Q5NEC5	UniRef100_Q5NEC5	263
A8MQB8	UniRef100_A8MQB8	9606
Q5NIP6	UniRef100_Q14K49	263
A9UHW6	UniRef100_A9UHW6	9443
P69722	UniRef100_P69720	11676
Q83A33	UniRef100_Q83A33	777
B3GQS7	UniRef100_B3GQS7	9606
B3KS98	UniRef100_B3KS98	207598
B4DDG7	UniRef100_B4DDG7	9606
B4DIT7	UniRef100_B4DIT7	9606
P03508	UniRef100_B4URE1	11320
B4DLN1	UniRef100_B4DLN1	9606
B4DLR8	UniRef100_B4DLR8	207598
P06821	UniRef100_P06821	11320
B4DQA8	UniRef100_B4DQA8	9606
B4DUC8	UniRef100_B4DUC8	9606
B4DZG7	UniRef100_A0A2I3SY56	9526
B4E3T4	UniRef100_B4E3T4	9606
B5BUJ7	UniRef100_B5BUJ7	9606
P04688	UniRef100_P04688	4896
P0CG08	UniRef100_B7ZAQ6	207598
O35493	UniRef100_O35493	10090
C9J384	UniRef100_C9J384	9606
C9J3L8	UniRef100_C9J3L8	9606
C9JAW5	UniRef100_C9JAW5	9606
P05777	UniRef100_P05777	381518
Q83A11	UniRef100_Q83A11	777
E5RHT6	UniRef100_E5RHT6	9606
E7ETS9	UniRef100_E7ETS9	9606
E7ETU5	UniRef100_E7ETU5	314295
E7EU96	UniRef100_E7EU96	9606
E9PC52	UniRef100_E9PC52	9604
E9PDE8	UniRef100_E9PDE8	9606
E9PHA6	UniRef100_E9PHA6	9606
E9PMI6	UniRef100_E9PMI6	314293
E9PPV6	UniRef100_E9PPV6	207598
E9PQ57	UniRef100_E9PQ57	9604
F2Z2B9	UniRef100_F2Z2B9	9606
F2Z2I2	UniRef100_F2Z2I2	9604
F5GX77	UniRef100_F5GX77	9604
P03468	UniRef100_P03468	211044
F5H5U2	UniRef100_F5H5U2	9606
F6RFD5	UniRef100_F6RFD5	314293
F7VJQ1	UniRef100_F7VJQ1	9606
F8VPD4	UniRef100_F8VPD4	9606
