From	Cluster ID	Cluster Name	Size	Identity	Common taxon	Common taxon ID
A0A024R382	UniRef90_A0A024R382	Cluster: CNDP dipeptidase 2 (Metallopeptidase M20 family), isoform CRA_d	1	0.9	Homo sapiens	9606
E9PKA7	UniRef90_A0A024R5B6	Cluster: Farnesylated proteins-converting enzyme 2	20	0.9	Boreoeutheria	1437010
A0A0C4DGG9	UniRef90_A0A0C4DGG9	Cluster: DNA helicase	1	0.9	Homo sapiens	9606
A0A0U1RRE5	UniRef90_A0A0U1RRE5	Cluster: Negative regulator of P-body association	28	0.9	Boreoeutheria	1437010
A0A3B3IRW5	UniRef90_A0A3B3IT66	Cluster: Forkhead box P1	26	0.9	Boreoeutheria	1437010
A0A3B3IT92	UniRef90_A0A3B3IT92	Cluster: DNA replication licensing factor MCM4	9	0.9	Catarrhini	9526
Q59E92	UniRef90_A0A7I2V2S0	Cluster: RNA helicase	6	0.9	Boreoeutheria	1437010
E9PH82	UniRef90_A0A8I5QKV5	Cluster: Family with sequence similarity 98 member A	23	0.9	Boreoeutheria	1437010
K7EJR3	UniRef90_A0A8V8TR48	Cluster: 26S proteasome non-ATPase regulatory subunit 8	7	0.9	Hominidae	9604
A0AV96	UniRef90_A0AV96	Cluster: RNA-binding protein 47	402	0.9	Tetrapoda	32523
A0FGR8	UniRef90_A0FGR8	Cluster: Extended synaptotagmin-2	15	0.9	Simiiformes	314293
A0JNW5	UniRef90_A0JNW5	Cluster: Bridge-like lipid transfer protein family member 3B	109	0.9	Euarchontoglires	314146
A0MZ66	UniRef90_A0MZ66	Cluster: Shootin-1	187	0.9	Eutheria	9347
A1L0T0	UniRef90_A1L0T0	Cluster: 2-hydroxyacyl-CoA lyase 2	74	0.9	Boreoeutheria	1437010
A1L188	UniRef90_A1L188	Cluster: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	31	0.9	Boreoeutheria	1437010
A1L390	UniRef90_A1L390	Cluster: Pleckstrin homology domain-containing family G member 3	45	0.9	Homininae	207598
A2A2Y4	UniRef90_A2A2Y4	Cluster: FERM domain-containing protein 3	61	0.9	Boreoeutheria	1437010
A2A3L6	UniRef90_A2A3L6	Cluster: Tetratricopeptide repeat protein 24	28	0.9	Catarrhini	9526
A0A1V1IGJ9	UniRef90_A2BFX2	Cluster: HLA class II histocompatibility antigen DR beta chain	630	0.9	Primates	9443
A2IDD5	UniRef90_A2IDD5	Cluster: Coiled-coil domain-containing protein 78	4	0.9	Homininae	207598
A2RRP1	UniRef90_A2RRP1	Cluster: NBAS subunit of NRZ tethering complex	18	0.9	Hominoidea	314295
A2RU30	UniRef90_A2RU30	Cluster: Protein TESPA1	66	0.9	Catarrhini	9526
A2RUS2	UniRef90_A2RUS2	Cluster: DENN domain-containing protein 3	62	0.9	Homininae	207598
A3KN83	UniRef90_A3KN83	Cluster: Protein strawberry notch homolog 1	667	0.9	Euteleostomi	117571
A4D0V7	UniRef90_A4D0V7	Cluster: Cadherin-like and PC-esterase domain-containing protein 1	26	0.9	Catarrhini	9526
A4D1V7	UniRef90_A4D1V7	Cluster: Hypothetical gene supported by AK127273	1	0.9	Homo sapiens	9606
A4FU69	UniRef90_A4FU69	Cluster: EF-hand calcium-binding domain-containing protein 5	28	0.9	Catarrhini	9526
A5D8V6	UniRef90_A5D8V6	Cluster: Vacuolar protein sorting-associated protein 37C	51	0.9	Simiiformes	314293
A5PLL7	UniRef90_A5PLL7	Cluster: Plasmanylethanolamine desaturase	11	0.9	Catarrhini	9526
A5PLN9	UniRef90_A5PLN9	Cluster: Trafficking protein particle complex subunit 13	790	0.9	Sarcopterygii	8287
A5YKK6	UniRef90_A5YKK6	Cluster: CCR4-NOT transcription complex subunit 1	712	0.9	Amniota	32524
A6H8Y1	UniRef90_A6H8Y1	Cluster: Transcription factor TFIIIB component B'' homolog	58	0.9	Catarrhini	9526
A6NC98	UniRef90_A6NC98	Cluster: Coiled-coil domain-containing protein 88B	14	0.9	Simiiformes	314293
A6NEC2	UniRef90_A6NEC2	Cluster: Puromycin-sensitive aminopeptidase-like protein	6	0.9	Boreoeutheria	1437010
A6NEK1	UniRef90_A6NEK1	Cluster: Arrestin domain-containing protein 5	6	0.9	Homininae	207598
A6NH11	UniRef90_A6NH11	Cluster: Glycolipid transfer protein domain-containing protein 2	13	0.9	Hominoidea	314295
A6NHN6	UniRef90_A6NHN6	Cluster: Nuclear pore complex-interacting protein family member B15	8	0.9	Homo sapiens	9606
A6NHR9	UniRef90_A6NHR9	Cluster: Structural maintenance of chromosomes flexible hinge domain-containing protein 1	235	0.9	Eutheria	9347
A6NI56	UniRef90_A6NI56	Cluster: Coiled-coil domain-containing protein 154	12	0.9	Catarrhini	9526
A6NJG2	UniRef90_A6NJG2	Cluster: Ankyrin repeat domain-containing protein SOWAHD	18	0.9	Catarrhini	9526
A6NK53	UniRef90_A6NK53	Cluster: Zinc finger protein 233	17	0.9	Catarrhini	9526
A6NM11	UniRef90_A6NM11	Cluster: Leucine-rich repeat-containing protein 37A2	42	0.9	Bilateria	33213
A6PVS8	UniRef90_A6PVS8	Cluster: Leucine-rich repeat and IQ domain-containing protein 3	9	0.9	Catarrhini	9526
A7E2V4	UniRef90_A7E2V4	Cluster: Zinc finger SWIM domain-containing protein 8	2	0.9	Homininae	207598
A7KAX9	UniRef90_A7KAX9	Cluster: Rho GTPase-activating protein 32	182	0.9	Boreoeutheria	1437010
A7MCY6	UniRef90_A7MCY6	Cluster: TANK-binding kinase 1-binding protein 1	15	0.9	Boreoeutheria	1437010
Q6VEQ5	UniRef90_A8K0Z3	Cluster: WASH complex subunit 1	29	0.9	Homo sapiens	9606
A8K8P3	UniRef90_A8K8P3	Cluster: Protein SFI1 homolog	153	0.9	Catarrhini	9526
A8K979	UniRef90_A8K979	Cluster: ERI1 exoribonuclease 2	63	0.9	Catarrhini	9526
A8K9Y5	UniRef90_A8K9Y5	Cluster: DNA helicase (Fragment)	1	0.9	Homo sapiens	9606
